Title,Trigger Automation,Shipment Number,OrderID,Exchange Rate,Invoice Value (FOB),Agent Commission (ILS),Incoterms,Total CIF Amount (ILS),Currency,Food's Broker number,Delivery date (Buyer's conf.),Supplier's number,Supplier's name,Ministry of health costs,Freight costs,Freight costs (ILS),Supplier's Country,Currency (Freight),Import multiplier (ILS),SeaPort of origin,נקודת תכנון הובלה,Total import expenses (ILS),Container Type,Delivery costs - FOB (ILS),Shipment costs - FOB (ILS),Shipment costs (ILS),Forwader's name,Invoice value (ILS),Forwarder's Case number\ ID
28330,Yes,28330,0000114744,3.808,72772,8313.47,FOB,284875.76,USD,204776,22/1/2024,110542,Maas-Intersales,,,,,USD,,,,,,,,,,,
28337,Yes,28337,0000114675,4.1206,25724.16,3179.97,FOB,117487.28,EUR,204776,1/7/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28338,Yes,28338,0000114911,4.0743,8718.56,1044.88,EXW,44938.5,EUR,204776,1/2/2024,111592,pastificio mennucci s.p.a,,,,,USD,,,,,,,,,,,
28347,Yes,28347,0000114759,4.1172,23820.48,2942.21,FOB,109283.66,EUR,204776,31/12/2023,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28367,Yes,28367,0000114758,4.1172,23051.52,2847.23,FOB,106085.36,EUR,204776,1/1/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28520,Yes,28520,0000114758,4.1172,24834.6,3067.47,FOB,113545.44,EUR,204776,1/6/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28530,Yes,28530,0000114814,4.1196,15582,1925.75,EXW,79370.09,EUR,204776,17/1/2024,112147,Viube foods,,,,,USD,,,,,,,,,,,
28531,Yes,28531,0000114849,4.3087,20350.83,2497.15,FOB,93164.34,EUR,204776,21/1/2024,111401,Coppenrath Feingeback Gmbh,,,,,USD,,,,,,,,,,,
28593,Yes,28593,0000114619,4.0714,26647.92,3797.3,FOB,116931.17,EUR,204776,12/2/2024,110030,BALCONI SPA,,,,,USD,,,,,,,,,,,
28593,Yes,28593,0000114619,4.0714,26647.92,3797.3,FOB,116931.17,EUR,204776,2/12/2024,110030,BALCONI SPA,,,,,USD,,,,,,,,,,,
28593,Yes,28593,0000114619,4.0714,26647.92,3797.3,FOB,116931.17,EUR,204776,2/12/2024,110030,BALCONI SPA,,,,,USD,,,,,,,,,,,
28600,Yes,28600,0000114758,4.1172,24619.68,3040.92,FOB,113265.47,EUR,204776,22/1/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28610,Yes,28610,0000114758,4.1172,29273.4,3615.73,FOB,132403.36,EUR,204776,21/1/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28615,Yes,28615,0000114758,4.1172,19042.56,2352.06,FOB,89994.73,EUR,204776,28/1/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28652,Yes,28652,0000114838,4.2799,15140.2,2267.95,EXW,75783.33,EUR,204776,20/1/2024,110976,CIEMME ALIMENTARI S.R.L,,,,,USD,,,,,,,,,,,
28663,Yes,28663,0000114756,4.2968,16588.8,2494.76,EXW,84441.11,EUR,204776,21/1/2024,112217,EUROSNACK s.r.l,,,,,USD,,,,,,,,,,,
28669,Yes,28669,0000114792,4.2004,90180,13257.72,EXW,406909.34,EUR,204776,24/2/2024,110976,CIEMME ALIMENTARI S.R.L,,,,,USD,,,,,,,,,,,
28669,Yes,28669,0000114792,4.2004,90180,13257.72,EXW,406909.34,EUR,204776,24/2/2024,110976,CIEMME ALIMENTARI S.R.L,,,,,USD,,,,,,,,,,,
28669,Yes,28669,0000114792,4.2004,90180,13257.72,EXW,406909.34,EUR,204776,24/2/2024,110976,CIEMME ALIMENTARI S.R.L,,,,,USD,,,,,,,,,,,
28689,Yes,28689,0000114745,4.0905,23006.48,2777.34,EXW,107908.39,EUR,204776,3/2/2024,111592,pastificio mennucci s.p.a,,,,,USD,,,,,,,,,,,
28689,Yes,28689,0000114745,4.0905,23006.48,2777.34,EXW,107908.39,EUR,204776,2/3/2024,111592,pastificio mennucci s.p.a,,,,,USD,,,,,,,,,,,
28689,Yes,28689,0000114745,4.0905,23006.48,2777.34,EXW,107908.39,EUR,204776,2/3/2024,111592,pastificio mennucci s.p.a,,,,,USD,,,,,,,,,,,
28706,Yes,28706,0000114819,4.1867,22317.12,2803.05,FOB,104939.11,EUR,204776,13/2/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28706,Yes,28706,0000114819,4.1867,22317.12,2803.05,FOB,104939.11,EUR,204776,13/2/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28706,Yes,28706,0000114819,4.1867,22317.12,2803.05,FOB,104939.11,EUR,204776,13/2/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28709,Yes,28709,0000114699,3.89,19760,2690.32,FOB,82319.39,EUR,204776,3/2/2024,110731,LA DORIA S.p.A,,,,,USD,,,,,,,,,,,
28712,Yes,28712,0000114557,3.89,69480,9459.7,FOB,283490.22,EUR,204776,13/2/2024,110731,LA DORIA S.p.A,,,,,USD,,,,,,,,,,,
28715,Yes,28715,0000115092,3.784,404611.2,38276.22,FOB,1547411.07,USD,204776,11/2/2024,112588,poyraz zeytinyagi tarim san ve tic,,,,,USD,,,,,,,,,,,
28742,Yes,28742,0000114744,3.808,75681.75,8645.88,FOB,296225.02,USD,204776,8/4/2024,110542,Maas-Intersales,,,,,USD,,,,,,,,,,,
28744,Yes,28744,0000114696,4.3077,17807.04,2301.22,FOB,88035.52,EUR,204776,20/2/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28744,Yes,28744,0000114696,4.3077,17807.04,2301.22,FOB,88035.52,EUR,204776,20/2/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28744,Yes,28744,0000114696,4.3077,17807.04,2301.22,FOB,88035.52,EUR,204776,20/2/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28747,Yes,28747,0000114696,4.3077,24796.8,3204.52,FOB,118052.6,EUR,204776,21/2/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28747,Yes,28747,0000114696,4.3077,24796.8,3204.52,FOB,118052.6,EUR,204776,21/2/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28747,Yes,28747,0000114696,4.3077,24796.8,3204.52,FOB,118052.6,EUR,204776,21/2/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28754,Yes,28754,0000114819,4.1867,24045.12,3020.09,FOB,111803.49,EUR,204776,27/2/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28754,Yes,28754,0000114819,4.1867,24045.12,3020.09,FOB,111803.49,EUR,204776,27/2/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28754,Yes,28754,0000114819,4.1867,24045.12,3020.09,FOB,111803.49,EUR,204776,27/2/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28762,Yes,28762,0000114696,4.3077,24834.6,3209.4,FOB,118116.47,EUR,204776,27/2/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28762,Yes,28762,0000114696,4.3077,24834.6,3209.4,FOB,118116.47,EUR,204776,27/2/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28762,Yes,28762,0000114696,4.3077,24834.6,3209.4,FOB,118116.47,EUR,204776,27/2/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28776,Yes,28776,0000115092,3.784,404611.2,38276.22,FOB,1547210.35,USD,204776,25/2/2024,112588,poyraz zeytinyagi tarim san ve tic,,,,,USD,,,,,,,,,,,
28776,Yes,28776,0000115092,3.784,404611.2,38276.22,FOB,1547210.35,USD,204776,25/2/2024,112588,poyraz zeytinyagi tarim san ve tic,,,,,USD,,,,,,,,,,,
28776,Yes,28776,0000115092,3.784,404611.2,38276.22,FOB,1547210.35,USD,204776,25/2/2024,112588,poyraz zeytinyagi tarim san ve tic,,,,,USD,,,,,,,,,,,
28780,Yes,28780,0000114863,4.1101,105492.72,13007.57,FCA,447862.69,EUR,204776,24/2/2024,111816,ICAM S.p.A.,,,,,USD,,,,,,,,,,,
28780,Yes,28780,0000114863,4.1101,105492.72,13007.57,FCA,447862.69,EUR,204776,24/2/2024,111816,ICAM S.p.A.,,,,,USD,,,,,,,,,,,
28780,Yes,28780,0000114863,4.1101,105492.72,13007.57,FCA,447862.69,EUR,204776,24/2/2024,111816,ICAM S.p.A.,,,,,USD,,,,,,,,,,,
28790,Yes,28790,0000114843,4.09,46693.71,5652.6,EXW,212427.57,EUR,204776,24/2/2024,111592,pastificio mennucci s.p.a,,,,,USD,,,,,,,,,,,
28790,Yes,28790,0000114843,4.09,46693.71,5652.6,EXW,212427.57,EUR,204776,24/2/2024,111592,pastificio mennucci s.p.a,,,,,USD,,,,,,,,,,,
28790,Yes,28790,0000114843,4.09,46693.71,5652.6,EXW,212427.57,EUR,204776,24/2/2024,111592,pastificio mennucci s.p.a,,,,,USD,,,,,,,,,,,
28865,Yes,28865,0000115132+ 0000115048,4.0116,95219.46,11459.47,FOB,420172.2,EUR,204776,30/4/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28910,Yes,28910,0000115057,4.0116,51979.2,6255.59,EXW,223946.68,EUR,204776,8/4/2024,112109,ZAKLADY PRZEMYSLU CUKIERNICZEGO,,,,,USD,,,,,,,,,,,
28932,Yes,28932,0000115048,4.0116,24045.12,2893.78,FOB,106037.13,EUR,204776,6/4/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28945,Yes,28945,0000114696,4.3077,24153.13,3121.33,FOB,114605.27,EUR,204776,14/4/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28948,Yes,28948,0000115111,4.0781,17435.52,2133.11,EXW,82522.71,EUR,204776,14/4/2024,112406,Serena Ltd,,,,,USD,,,,,,,,,,,
28950,Yes,28950,0000114982,3.9869,37195.2,5190.27,EXW,189729.87,EUR,204776,21/4/2024,110397,CRISPY FOOD,,,,,USD,,,,,,,,,,,
28955,Yes,28955,0000115110,3.69,60410.88,2229.16,CIF,,USD,204776,6/4/2024,112631,abalioglu yag sanayi ve ticaret a.s,384.00,1049,"3,933.13",תורכיה,USD,3.87,IZMIR,9000,233645,"Y40H * 2  ,",0.02,0.05,10729.5,204828,"222,916.15",82374346
28958,Yes,28958,0000114699,3.89,19760,2690.32,FOB,82465.68,EUR,204776,6/4/2024,110731,LA DORIA S.p.A,,,,,USD,,,,,,,,,,,
28968,Yes,28968,0000115162,3.9746,15973.2,2222.05,FOB,68890.58,EUR,204776,21/5/2024,110731,LA DORIA S.p.A,,,,,USD,,,,,,,,,,,
28970,Yes,28970,0000115217,3.9676,113526.42,15764.97,FOB,475696.02,EUR,204776,8/4/2024,110466,VICENZI BISCOTTI S.P.A,,,,,USD,,,,,,,,,,,
28987,Yes,28987,0000115138,4.0876,82812.56,8462.62,FOB,350166.82,EUR,111692,30/4/2024,111692,Helwa Wafelbakkerij BV,,,,,USD,,,,,,,,,,,
29007,Yes,29007,0000114712,3.804,18269.2,2084.88,FOB,73529.14,USD,204776,5/8/2024,112401,Ozgur Tarim Urunleri Israat San. Ve,,,,,USD,,,,,,,,,,,
29010,Yes,29010,0000115048,4.0116,29694.6,3573.69,FOB,129095.49,EUR,204776,29/4/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
29019,Yes,29019,0000115220,3.89,15973.2,2174.75,FOB,67710.14,EUR,204776,29/4/2024,110731,LA DORIA S.p.A,,,,,USD,,,,,,,,,,,
29022,Yes,29022,0000115132,4.0521,26693.55,3244.95,FOB,117559.51,EUR,204776,5/8/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
29032,Yes,29032,0000115115,3.9675,24527.43,2919.38,FOB,106703.66,EUR,204776,5/8/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
29033,Yes,29033,0000115144,3.9676,15876,1889.69,EXW,77913.76,EUR,204776,5/8/2024,112147,Viube foods,,,,,USD,,,,,,,,,,,
29055,Yes,29055,0000115162,3.9746,15973.2,2222.05,FOB,68953.47,EUR,204776,6/1/2024,110731,LA DORIA S.p.A,,,,,USD,,,,,,,,,,,
29066,Yes,29066,0000115119,4.0639,15690.82,2231.81,EXW,74272.06,EUR,204776,15/5/2024,110976,CIEMME ALIMENTARI S.R.L,,,,,USD,,,,,,,,,,,
29077,Yes,29077,0000115113,4.0781,22548.24,3218.39,FOB,102770.29,EUR,204776,15/5/2024,110030,BALCONI SPA,,,,,USD,,,,,,,,,,,
29083,Yes,29083,0000115271,4.0039,17159.02,2014.78,EXW,81462.3,EUR,204776,25/5/2024,111592,pastificio mennucci s.p.a,,,,,USD,,,,,,,,,,,
29108,Yes,29108,0000115202+ 0000115132,3.9347,45811.08,5407.59,FOB,199518.74,EUR,204776,6/5/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
29121,Yes,29121,0000115162,3.9746,15969.12,2221.48,FOB,68873.26,EUR,204776,26/5/2024,110731,LA DORIA S.p.A,,,,,USD,,,,,,,,,,,
29141,Yes,29141,0000115271,4.0039,24608.12,2908.9,EXW,111530.84,EUR,204776,6/2/2024,111592,pastificio mennucci s.p.a,,,,,USD,,,,,,,,,,,
29145,Yes,29145,0000115202,3.9347,29399.76,3470.38,FOB,125615.28,EUR,204776,18/6/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
29152,Yes,29152,0000115239,3.8857,23510.25,3197.37,FOB,99008.47,EUR,204776,15/6/2024,110157,POLENGHI LAS SRL,,,,,USD,,,,,,,,,,,
29153,Yes,29153,0000115247,3.9034,30236.2,4130.84,EXW,132056.28,EUR,204776,6/8/2024,110976,CIEMME ALIMENTARI S.R.L,,,,,USD,,,,,,,,,,,
29223,Yes,29223,0000115233,3.9128,25963.2,3555.61,FOB,110181.83,EUR,204776,19/6/2024,110466,VICENZI BISCOTTI S.P.A,,,,,USD,,,,,,,,,,,
29240,Yes,29240,0000115173,3.9894,15834,1895.05,EXW,77821.35,EUR,204776,26/6/2024,112147,Viube foods,,,,,USD,,,,,,,,,,,
29260,Yes,29260,0000114557,3.89,34705.26,4725.12,FOB,140604.7,EUR,204776,29/6/2024,110731,LA DORIA S.p.A,,,,,USD,,,,,,,,,,,
29318,Yes,29318,0000115320,4.0078,15792,1898.73,EXW,77623.22,,204776,20/8/2024,112147,Viube foods,,,,,USD,,,,,,,,,,,
29323,Yes,29323,0000115367,4.0056,36779.4,5156.32,,190423.86,EUR,204776,22/9/2024,110397,CRISPY FOOD,,,,,USD,,,,,,,,,,,
29323,Yes,29323,0000115367,4.0056,36779.4,5156.32,,190423.86,EUR,204776,22/9/2024,110397,CRISPY FOOD,,,,,USD,,,,,,,,,,,
29348,Yes,29348,0000114744,3.808,76275,8713.66,FOB,301306.34,USD,204776,30/9/2024,110542,Maas-Intersales,,,,,USD,,,,,,,,,,,
29358,Yes,29358,0000115290,4.0204,22554,2720.28,FOB,100672.59,,204776,8/6/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
29375,Yes,29375,0000115297,3.9904,32186.64,4495.32,FOB,135058.67,,204776,8/7/2024,110731,LA DORIA S.p.A,,,,,USD,,,,,,,,,,,
29390,Yes,29390,0000115300,3.9502,31046.06,4292.34,EXW,131856.45,,204776,8/10/2024,110976,CIEMME ALIMENTARI S.R.L,,,,,USD,,,,,,,,,,,
29393,Yes,29393,0000115166,4.0626,65011.36,6602.88,,275646.63,EUR,204776,31/8/2024,111692,Helwa Wafelbakkerij BV,,,,,USD,,,,,,,,,,,
29393,Yes,29393,0000115166,4.0626,65011.36,6602.88,,275646.63,EUR,204776,31/8/2024,111692,Helwa Wafelbakkerij BV,,,,,USD,,,,,,,,,,,
29430,Yes,29430,0000115368+ 0000115338+ 0000115337,4.0056,148184.77,17807.06,,651210.37,EUR,204776,9/11/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
29430,Yes,29430,0000115368+ 0000115338+ 0000115337,4.0056,148184.77,17807.06,,651210.37,EUR,204776,9/11/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
29437,Yes,29437,0000115252,4.0119,33298.66,4675.68,,143276.08,EUR,204776,21/9/2024,110976,CIEMME ALIMENTARI S.R.L,,,,,USD,,,,,,,,,,,
29437,Yes,29437,0000115252,4.0119,33298.66,4675.68,,143276.08,EUR,204776,21/9/2024,110976,CIEMME ALIMENTARI S.R.L,,,,,USD,,,,,,,,,,,
29439,Yes,29439,0000115302,4.0647,21948.24,2676.39,FOB,100324.58,EUR,204776,10/6/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
29444,Yes,29444,0000115216,4.0321,17834.74,2109.96,,86451.76,EUR,204776,9/7/2024,111592,pastificio mennucci s.p.a,,,,,USD,,,,,,,,,,,
29444,Yes,29444,0000115216,4.0321,17834.74,2109.96,,86451.76,EUR,204776,9/7/2024,111592,pastificio mennucci s.p.a,,,,,USD,,,,,,,,,,,
29445,Yes,29445,0000115337,3.9941,24930.59,2987.26,,109493.17,EUR,204776,17/9/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
29445,Yes,29445,0000115337,3.9941,24930.59,2987.26,,109493.17,EUR,204776,17/9/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
29451,Yes,29451,0000115297,3.9904,30996,4329.02,,129246.5,EUR,204776,9/8/2024,110731,LA DORIA S.p.A,,,,,USD,,,,,,,,,,,
29451,Yes,29451,0000115297,3.9904,30996,4329.02,,129246.5,EUR,204776,9/8/2024,110731,LA DORIA S.p.A,,,,,USD,,,,,,,,,,,
29455,Yes,29455,0000115337,3.9941,45108,5404.98,FOB,199573.98,EUR,204776,27/10/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
29481,Yes,29481,0000115302,4.0647,20353.68,2481.95,FOB,93799.18,EUR,204776,10/7/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
29491,Yes,29491,0000115297,3.9904,30996,4329.03,FOB,129255.29,EUR,204776,10/7/2024,110731,LA DORIA S.p.A,,,,,USD,,,,,,,,,,,
29501,Yes,29501,0000115215,4.0321,21074.9,2124.4,FOB,90097.37,EUR,204776,26/10/2024,111401,Coppenrath Feingeback Gmbh,,,,,USD,,,,,,,,,,,
29509,Yes,29509,0000115397,3.998,31536.48,4412.9,EXW,136503.7,EUR,204776,11/10/2024,110976,CIEMME ALIMENTARI S.R.L,,,,,USD,,,,,,,,,,,
29522,Yes,29522,0000115302,4.0647,20298.6,2475.23,FOB,94961.23,EUR,204776,20/11/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
29540,Yes,29540,0000115430,4.0888,20534.49,2938.65,FOB,91641.71,EUR,204776,11/6/2024,110157,POLENGHI LAS SRL,,,,,USD,,,,,,,,,,,
29542,Yes,29542,0000115448,4.1327,23796.72,2950.34,FOB,108286.47,EUR,204776,20/11/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
29561,Yes,29561,0000115448,4.1327,56538,7009.64,FOB,252672.87,EUR,204776,27/11/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
29564,Yes,29564,0000115457,3.9618,22550.4,2680.2,FOB,100061.42,EUR,204776,26/11/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
29566,Yes,29566,0000115457,3.9618,24566.45,2919.82,FOB,107256.33,EUR,204776,23/11/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
