Shipping Title1,Open Comments,Text 1,Container Type/Quantity,Country of Loading,Description,Destination Port,Shipping Title,Freight (CBM),Handling,Insurance,Loading Port (City),Port Charges,Shipping Company,ShipTo Address,Total Estimated Cost (USD),First Created,Last Updated,Auto Number
ws,0,Loading Port (City),5 pallets / 7.5 CBM,India,$25,Ashdod,LCL from Mundra (India) 5 Pallets,$100/CBM,$120,$40,Mundra,$200,Maersk,Beit Shemesh,"$1,065","By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#001
LCL from Mundra (India) 5 Pallets,0,Mundra,5 pallets / 7.5 CBM,India,$25,Ashdod,LCL from Nhava Sheva (India) 5 Pallets,$95/CBM,$115,$38,Nhava Sheva,$190,CMA CGM,Beit Shemesh,"$1,020","By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#002
LCL from Nhava Sheva (India) 5 Pallets,0,Nhava Sheva,,,,,Estimated LCL Shipping Costs from Argentina (Buenos Aires),,,,,,,,,"By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#003
"LCL from Buenos Aires (Argentina) 5
  Pallets",0,Buenos Aires,Container Type/Quantity,Country of Loading,Documentation,Destination Port,Shipping Title,Freight (CBM),Handling,Insurance,Loading Port (City),Port Charges,Shipping Company,ShipTo Address,Total Estimated Cost (USD),"By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#004
LCL from Los Angeles (USA) 5 Pallets,0,Los Angeles,5 pallets / 7.5 CBM,Argentina,$25,Ashdod,LCL from Buenos Aires (Argentina) 5 Pallets,$110/CBM,$130,$42,Buenos Aires,$220,Maersk,Beit Shemesh,"$1,132","By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#005
LCL from New York (USA) 5 Pallets,0,New York,,,,,Estimated LCL Shipping Costs from USA (Los Angeles and New York),,,,,,,,,"By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#006
LCL from Vancouver (Canada) 5 Pallets,0,Vancouver,Container Type/Quantity,Country of Loading,Documentation,Destination Port,Shipping Title,Freight (CBM),Handling,Insurance,Loading Port (City),Port Charges,Shipping Company,ShipTo Address,Total Estimated Cost (USD),"By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#007
LCL from Veracruz (Mexico) 5 Pallets,0,Veracruz,5 pallets / 7.5 CBM,USA,$25,Ashdod,LCL from Los Angeles (USA) 5 Pallets,$120/CBM,$140,$45,Los Angeles,$240,CMA CGM,Beit Shemesh,"$1,205","By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#008
LCL from Gdynia (Poland) 5 Pallets,0,Gdynia,5 pallets / 7.5 CBM,USA,$25,Ashdod,LCL from New York (USA) 5 Pallets,$115/CBM,$135,$44,New York,$230,MSC,Beit Shemesh,"$1,160","By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#009
"LCL from Rotterdam (Netherlands) 5
  Pallets",0,Rotterdam,,,,,Estimated LCL Shipping Costs from Canada (Vancouver),,,,,,,,,"By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#010
LCL from Antwerp (Belgium) 5 Pallets,0,Antwerp,Container Type/Quantity,Country of Loading,Documentation,Destination Port,Shipping Title,Freight (CBM),Handling,Insurance,Loading Port (City),Port Charges,Shipping Company,ShipTo Address,Total Estimated Cost (USD),"By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#011
LCL from Genoa (Italy) 5 Pallets,0,Genoa,5 pallets / 7.5 CBM,Canada,$25,Ashdod,LCL from Vancouver (Canada) 5 Pallets,$115/CBM,$135,$44,Vancouver,$230,Hapag-Lloyd,Beit Shemesh,"$1,160","By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#012
LCL from Venice (Italy) 5 Pallets,0,Venice,,,,,Estimated LCL Shipping Costs from Mexico (Veracruz),,,,,,,,,"By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#013
LCL from Algeciras (Spain) 5 Pallets,0,Algeciras,Container Type/Quantity,Country of Loading,Documentation,Destination Port,Shipping Title,Freight (CBM),Handling,Insurance,Loading Port (City),Port Charges,Shipping Company,ShipTo Address,Total Estimated Cost (USD),"By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#014
LCL from Tarragona (Spain) 5 Pallets,0,Tarragona,5 pallets / 7.5 CBM,Mexico,$25,Ashdod,LCL from Veracruz (Mexico) 5 Pallets,$110/CBM,$130,$42,Veracruz,$220,CMA CGM,Beit Shemesh,"$1,132","By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#015
Untitled Record,0,,,,,,Estimated LCL Shipping Costs from Poland (Gdynia),,,,,,,,,"By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#016
Untitled Record,0,,Container Type/Quantity,Country of Loading,Documentation,Destination Port,Shipping Title,Freight (CBM),Handling,Insurance,Loading Port (City),Port Charges,Shipping Company,ShipTo Address,Total Estimated Cost (USD),"By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#017
Untitled Record,0,,5 pallets / 7.5 CBM,Poland,$25,Ashdod,LCL from Gdynia (Poland) 5 Pallets,$105/CBM,$125,$41,Gdynia,$210,Maersk,Beit Shemesh,"$1,097","By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#018
Untitled Record,0,,,,,,Costs are calculated based on volume (CBM).,,,,,,,,,"By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#019
Untitled Record,0,,,,,,"Estimates include freight, port charges, handling fees, and insurance.",,,,,,,,,"By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#020
Untitled Record,0,,,,,,Estimated LCL Shipping Costs from Poland (Gdynia),,,,,,,,,"By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#021
Untitled Record,0,,Container Type/Quantity,Country of Loading,Documentation,Destination Port,Shipping Title,Freight (CBM),Handling,Insurance,Loading Port (City),Port Charges,Shipping Company,ShipTo Address,Total Estimated Cost (USD),"By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#022
Untitled Record,0,,5 pallets / 7.5 CBM,Poland,$25,Ashdod,LCL from Gdynia (Poland) 5 Pallets,$105/CBM,$125,$41,Gdynia,$210,Maersk,Beit Shemesh,"$1,097","By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#023
Untitled Record,0,,,,,,Estimated LCL Shipping Costs from Germany (Hamburg),,,,,,,,,"By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#024
Untitled Record,0,,Container Type/Quantity,Country of Loading,Documentation,Destination Port,Shipping Title,Freight (CBM),Handling,Insurance,Loading Port (City),Port Charges,Shipping Company,ShipTo Address,Total Estimated Cost (USD),"By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#025
Untitled Record,0,,5 pallets / 7.5 CBM,Germany,$25,Ashdod,LCL from Hamburg (Germany) 5 Pallets,$110/CBM,$130,$42,Hamburg,$220,Hapag-Lloyd,Beit Shemesh,"$1,132","By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#026
Untitled Record,0,,,,,,Estimated LCL Shipping Costs from Netherlands (Rotterdam),,,,,,,,,"By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#027
Untitled Record,0,,Container Type/Quantity,Country of Loading,Documentation,Destination Port,Shipping Title,Freight (CBM),Handling,Insurance,Loading Port (City),Port Charges,Shipping Company,ShipTo Address,Total Estimated Cost (USD),"By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#028
Untitled Record,0,,5 pallets / 7.5 CBM,Netherlands,$25,Ashdod,LCL from Rotterdam (Netherlands) 5 Pallets,$108/CBM,$128,$42,Rotterdam,$215,Maersk,Beit Shemesh,"$1,119","By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#029
Untitled Record,0,,,,,,Estimated LCL Shipping Costs from Belgium (Antwerp),,,,,,,,,"By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#030
Untitled Record,0,,Container Type/Quantity,Country of Loading,Documentation,Destination Port,Shipping Title,Freight (CBM),Handling,Insurance,Loading Port (City),Port Charges,Shipping Company,ShipTo Address,Total Estimated Cost (USD),"By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#031
Untitled Record,0,,5 pallets / 7.5 CBM,Belgium,$25,Ashdod,LCL from Antwerp (Belgium) 5 Pallets,$107/CBM,$125,$41,Antwerp,$210,MSC,Beit Shemesh,"$1,110","By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#032
Untitled Record,0,,,,,,Estimated LCL Shipping Costs from Italy (Genoa and Venice),,,,,,,,,"By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#033
Untitled Record,0,,Container Type/Quantity,Country of Loading,Documentation,Destination Port,Shipping Title,Freight (CBM),Handling,Insurance,Loading Port (City),Port Charges,Shipping Company,ShipTo Address,Total Estimated Cost (USD),"By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#034
Untitled Record,0,,5 pallets / 7.5 CBM,Italy,$25,Ashdod,LCL from Genoa (Italy) 5 Pallets,$105/CBM,$125,$41,Genoa,$210,CMA CGM,Beit Shemesh,"$1,097","By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#035
Untitled Record,0,,5 pallets / 7.5 CBM,Italy,$25,Ashdod,LCL from Venice (Italy) 5 Pallets,$106/CBM,$125,$41,Venice,$210,MSC,Beit Shemesh,"$1,103","By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#036
Untitled Record,0,,,,,,Estimated LCL Shipping Costs from Spain (Algeciras and Tarragona),,,,,,,,,"By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#037
Untitled Record,0,,Container Type/Quantity,Country of Loading,Documentation,Destination Port,Shipping Title,Freight (CBM),Handling,Insurance,Loading Port (City),Port Charges,Shipping Company,ShipTo Address,Total Estimated Cost (USD),"By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#038
Untitled Record,0,,5 pallets / 7.5 CBM,Spain,$25,Ashdod,LCL from Algeciras (Spain) 5 Pallets,$109/CBM,$128,$42,Algeciras,$215,CMA CGM,Beit Shemesh,"$1,127","By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#039
Untitled Record,0,,5 pallets / 7.5 CBM,Spain,$25,Ashdod,LCL from Tarragona (Spain) 5 Pallets,$108/CBM,$128,$42,Tarragona,$215,Maersk,Beit Shemesh,"$1,119","By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#040
